"","V1","V2","time","name"
"1"," 13:00Meddelelser fra formandenFormanden (Pia Kjærsgaard","29. møde (1. udgave - med forbehold for fejl og udeladelser) - Onsdag den 6. december 2017 kl. 13.00
    29. møde
    Onsdag den 6. december 2017 kl. 13.00
    
  
    Dagsorden
   


  
    
      1) Besvarelse af oversendte spørgsmål til ministrene (spørgetid).
     
  


  
    
      1) Til justitsministeren af:
     
  
  
    
      Peter Kofod Poulsen
       (DF)
     
  
  
    
      Hvad er ministerens holdning til politidirektørernes bonusordninger?
     
  
  
    
      (Spm. nr. S 255).
     
  


  
    
      2) Til justitsministeren af:
     
  
  
    
      Josephine Fock
       (ALT)
     
  
  
    
      Er ministeren enig i, at brugen af Udlændingekontrolsektionen i politiet til at implementere en lov, der skal ramme alle på lige basis og ikke kun målrettes udlændinge, kan medføre en risiko for, at der opstår en diskriminerende praksis?
     
  
  
    
      (Spm. nr. S 257, skr. begr.).
     
  


  
    
      3) Til justitsministeren af:
     
  
  
    
      Kim Christiansen
       (DF)
     
  
  
    
      Hvad agter ministeren at gøre for at udvide tungvognskontrollerne?
     
  
  
    
      (Spm. nr. S 258. Medspørger: Peter Kofod Poulsen (DF)).
     
  


  
    
      4) Til justitsministeren af:
     
  
  
    
      Karin Nødgaard
       (DF)
     
  
  
    
      Finder ministeren det befordrende for et barns fysiske og psykiske udvikling at vokse op i et fængsel, hvor den ene af forældrene afsoner en dom?
     
  
  
    
      (Spm. nr. S 260).
     
  


  
    
      5) Til justitsministeren af:
     
  
  
    
      Karin Nødgaard
       (DF)
     
  
  
    
      Agter ministeren at ændre reglerne, således at det ikke længere er muligt at have sit barn boende hos sig i et fængsel, når den ene af forældrene afsoner en dom?
     
  
  
    
      (Spm. nr. S 261).
     
  


  
    
      6) Til justitsministeren af:
     
  
  
    
      Lars Aslan Rasmussen
       (S)
     
  
  
    
      Finder ministeren, at det er i orden, at stort set ingen af de mange dansk-tyrkere her i landet, der har angivet navngivne personer til Erdogans »stikkerlinje«, har oplevet, at deres angiveri har haft konsekvenser for dem, til trods for at det er ulovligt at samarbejde med et andet lands efterretningstjeneste? 
     
  
  
    
      (Spm. nr. S 267).
     
  


  
    
      7) Til finansministeren af:
     
  
  
    
      Benny Engelbrecht
       (S)
     
  
  
    
      Står ministeren ved sine udtalelser til Avisen Danmark den 16. november 2017, hvor ministeren bl.a. sagde, at »Vi motiverer ikke de unge på den rigtige måde. De skal ikke have en økonomisk gevinst ved at komme på dagpenge, så det er stadig en del af Venstres politik at ændre på det«, og mener ministeren i så fald, at det løfte, som daværende oppositionsleder Lars Løkke Rasmussen i DR den 7. juni 2015 gav til danskerne, da han sagde, at »Jeg vil da gerne give det løfte her i aften – og man kan regne med de løfter, jeg giver, jeg siger ikke et før valget og så gør det stik modsatte efter – at vi kommer ikke til at skære i dagpengene«, er brudt?
     
  
  
    
      (Spm. nr. S 268).
     
  


  
    
      8) Til finansministeren af:
     
  
  
    
      Benny Engelbrecht
       (S)
     
  
  
    
      Når politisk ordfører for Venstre, Jakob Ellemann-Jensen, den 15. oktober i år i TV-programmet »Vi ses hos Clement« på DR sagde, at han ikke kunne forestille sig, at Venstre ville stemme for forringelser for gruppen af dagpengemodtagere, mener ministeren så, at Jakob Ellemann-Jensen tog fejl, siden ministeren til Avisen Danmark den 16. november 2017 om dagpenge sagde følgende: »Vi motiverer ikke de unge på den rigtige måde. De skal ikke have en økonomisk gevinst ved at komme på dagpenge, så det er stadig en del af Venstres politik at ændre på det«?
     
  
  
    
      (Spm. nr. S 270).
     
  


  
    
      9) Til økonomi- og indenrigsministeren af:
     
  
  
    
      Rasmus Prehn
       (S)
     
  
  
    
      Hvorfor mener ministeren, at man ikke kan rette den beregningsfejl i udligningssystemet, som Nordjyske Stiftstidende har beskrevet, og som angiveligt har ramt flere provinsbyer, der er blevet snydt for millionbeløb?
     
  
  
    
      (Spm. nr. S 266).
     
  


  
    
      10) Til beskæftigelsesministeren af:
     
  
  
    
      Jacob Mark
       (SF)
     
  
  
    
      Vil ministeren garantere, at regeringen bidrager til, at der kommer fair og frie forhandlinger mellem KL og Danmarks Lærerforening, når der skal forhandles overenskomst for folkeskolelærerne i 2018? 
     
  
  
    
      (Spm. nr. S 263).
     
  


  
    
      11) Til beskæftigelsesministeren af:
     
  
  
    
      Bjarne Laustsen
       (S)
     
  
  
    
      Vil ministeren redegøre for, om det er regeringens politik at skære i unges dagpenge?
     
  
  
    
      (Spm. nr. S 273, skr. begr.).
     
  


  
    
      12) Til beskæftigelsesministeren af:
     
  
  
    
      Bjarne Laustsen
       (S)
     
  
  
    
      Henset til, at daværende oppositionsleder Lars Løkke Rasmussen den 7. juni 2015 sagde til DR, at »Jeg vil da gerne give det løfte her i aften – og man kan regne med de løfter, jeg giver, jeg siger ikke et før valget og så gør det stik modsatte efter – at vi kommer ikke til at skære i dagpengene«, og til, at finansministeren den 16. november i år til Avisen Danmark sagde om regeringens planer om at skære i unges dagpenge, at »Vi motiverer ikke de unge på den rigtige måde. De skal ikke have en økonomisk gevinst ved at komme på dagpenge, så det er stadig en del af Venstres politik at ændre på det«, vil ministeren da redegøre for, om det er finansministeren eller statsministeren, der tager fejl angående Venstres politik om at skære i dagpengene?
     
  
  
    
      (Spm. nr. S 274).
     
  


  
    
      13) Til udlændinge- og integrationsministeren af:
     
  
  
    
      Sofie Carsten Nielsen
       (RV)
     
  
  
    
      Agter ministeren at iværksætte hastelovgivning, så forskere som Brooke Harrington og andre personer i lignende situationer ikke straffes for at holde oplæg eller på anden måde videreformidle deres forskning uden for universiteterne?
     
  
  
    
      (Spm. nr. S 249, skr. begr.).
     
  


  
    
      14) Til udlændinge- og integrationsministeren af:
     
  
  
    
      Peter Kofod Poulsen
       (DF)
     
  
  
    
      Mener ministeren, der er styr på udlændingeområdet?
     
  
  
    
      (Spm. nr. S 256).
     
  


  
    
      15) Til udlændinge- og integrationsministeren af:
     
  
  
    
      Karina Due
       (DF)
     
  
  
    
      Anser ministeren det som en succes som integrationsminister, når der bliver indført et utal af muslimske særhensyn i kommunerne?
     
  
  
    
      (Spm. nr. S 259. Medspørger: Peter Kofod Poulsen (DF)).
     
  


  
    
      16) Til uddannelses- og forskningsministeren af:
     
  
  
    
      Jacob Mark
       (SF)
     
  
  
    
      Mener ministeren, det er en god idé at afskaffe kvikstartbonussen på 1,08?
     
  
  
    
      (Spm. nr. S 264).
     
  


  
    
      17) Til uddannelses- og forskningsministeren af:
     
  
  
    
      Christian Langballe
       (DF)
     
  
  
    
      Hvilke initiativer vil ministeren tage for at forhindre, at udenlandske studerende modtager SU eller optager SU-lån, sådan at der værnes om det gode danske SU-system og det ikke undermineres, som det sker nu?
     
  
  
    
      (Spm. nr. S 276).
     
  


  
    
      18) Til sundhedsministeren af:
     
  
  
    
      Christian Rabjerg Madsen
       (S)
     
  
  
    
      Hvad mener ministeren om, at en borger, der har haft krampelignende anfald, får besked fra en speciallæge om, at hun kan begynde på at tage kørekort efter 6 måneder, og derefter på trods af speciallægens besked får afslag fra Patientstyrelsen, således at hun ikke kan påbegynde at tage kørekort, hvilket er nødvendigt for hendes uddannelse?
     
  
  
    
      (Spm. nr. S 265, skr. begr.).
     
  


  
    
      19) Til miljø- og fødevareministeren af:
     
  
  
    
      Christian Rabjerg Madsen
       (S)
     
  
  
    
      Hvad er ministerens reaktion på, at TV 2 med Operation X-programmet »Den brændende sandhed« i oktober 2017 afslørede, at store modehuse systematisk brænder tøj af?
     
  
  
    
      (Spm. nr. S 242).
     
  


  
    
      20) Til børne- og socialministeren af:
     
  
  
    
      Pernille Bendixen
       (DF)
     
  
  
    
      Vil ministeren kommentere Institut for Menneskerettigheders rapport »Ekstrem social kontrol«, der konkluderer, at der er problemer i forbindelse med inddragelse af forældre i sager, hvor den unge netop har brug for, at forældrene ikke inddrages, når det er familien, der udøver social kontrol, og vil ministeren gøre tiltag for i højere grad at beskytte den unges ret til et privatliv?
     
  
  
    
      (Spm. nr. S 250).
     
  


  
    
      21) Til transport-, bygnings- og boligministeren af:
     
  
  
    
      Henning Hyllested
       (EL)
     
  
  
    
      Fastholder ministeren, at Transport-, Bygnings- og Boligministeriets ansvar ikke omfatter tiltag, der kan kompensere for negative klimaaftryk, der sker som følge af 
      CO
      2
      -udledningen fra transportområdet, som ministeren er refereret for i Information den 26. august i år?
     
  
  
    
      (Spm. nr. S 188 (omtrykt)).
     
  


  
    
      22) Til transport-, bygnings- og boligministeren af:
     
  
  
    
      Henning Hyllested
       (EL)
     
  
  
    
      Kan ministeren svare på, hvilket ministerium der har ansvaret for at reducere klimaeffekten inden for transportområdet?
     
  
  
    
      (Spm. nr. S 189, skr. begr. (omtrykt)).
     
  


  
    
      23) Til transport-, bygnings- og boligministeren af:
     
  
  
    
      Kaare Dybvad
       (S)
     
  
  
    
      Mener ministeren, at det skal være muligt for kommunerne at fravige opkrævningen af en tillægskøbesum hos almene boligselskaber, så der kan bygges flere almene boliger på eksisterende grunde?
     
  
  
    
      (Spm. nr. S 269, skr. begr.).
     
  


  
    
      24) Til transport-, bygnings- og boligministeren af:
     
  
  
    
      Kaare Dybvad
       (S)
     
  
  
    
      Mener ministeren, at det er rimeligt, at en beboer kun er blevet tilbudt en permanent genhusningsbolig af Frederiksberg Kommune til 12.000 kr. om måneden, jf. artiklen »Sagde ja til genhusning men: Lejen steg fra 5.000 til 12.000 kr.«?
     
  
  
    
      (Spm. nr. S 271, skr. begr.).
     
  
","13:00","Pia Kjærsgaard"
"6"," 13:01Formanden (Pia Kjærsgaard","Beslutningsforslag nr. B 48 (Forslag til folketingsbeslutning om ændring af reglerne for elevfordeling på gymnasierne).Titlerne på de anmeldte sager vil fremgå af www.folketingstidende.dk (jf. ovenfor).Med Tingets samtykke og efter ønske fra forslagsstillerne foreslår jeg, at beslutningsforslag nr. B 45 (Forslag til folketingsbeslutning om lovliggørelse af peberspray til selvforsvar inden for rammerne af lovligt nødværge) henvises til direkte udvalgsbehandling i Retsudvalget. Hvis ingen gør indsigelse, betragter jeg det som vedtaget.Det er vedtaget.Det eneste punkt på dagsordenen er:1) Besvarelse af oversendte spørgsmål til ministrene (spørgetid).","13:01","Pia Kjærsgaard"
"7"," 13:01Spm. nr. S 2551) Til justitsministeren af:Peter Kofod Poulsen (DF","Jeg har lige fået meddelelse om, at spørgsmål nr. 3 til justitsministeren af hr. Kim Christiansen (spørgsmål nr. S 258) er blevet trukket tilbage.Så vi begynder med spørgsmål til justitsministeren af hr. Peter Kofod Poulsen, Dansk Folkeparti.","13:01","Pia Kjærsgaard"
"9"," 13:01Peter Kofod Poulsen (DF","Værsgo til at læse spørgsmålet op.","13:01","Peter Kofod Poulsen"
"10"," 13:02Formanden (Pia Kjærsgaard","Hvad er ministerens holdning til politidirektørernes bonusordninger?","13:02","Peter Kofod Poulsen"
"11"," 13:02Justitsministeren (Søren Pape Poulsen","Justitsministeren.","13:02","Pia Kjærsgaard"
"12"," 13:03Formanden (Pia Kjærsgaard","Tak for spørgsmålet. Jeg synes, det er vigtigt, at vi skaber rammerne for, at medarbejdere og ledere i den offentlige sektor kan levere de bedst mulige resultater og præstationer. Det kommer os alle sammen til gode. Resultatløn kan være et meget fornuftigt redskab til at fremme gode resultater, men det skal naturligvis indrettes på fornuftig vis og ikke udbetales pr. automatik, for ellers går meningen med det hele jo tabt, og så skaber det netop ikke de gode resultater, som vi gerne vil fremme og anerkende.Som jeg har fået oplyst, har Rigspolitiet indgået individuelle resultatlønsaftaler med alle politidirektørerne. Der er vel at mærke ikke tale om, at politidirektørerne automatisk får udbetalt resultatløn, men tale om en kobling mellem konkrete resultater og løn ud fra et bredt og nuanceret billede. Det er helt i tråd med de generelle statslige anbefalinger, at man tilrettelægger resultatlønnen på den måde.Resultatløn kan jo ikke stå alene. Den løbende dialog om præstationer og resultater er et vigtigt redskab til at fremme de gode præstationer. Jeg kan også konstatere, at det er en del af konceptet for tildeling af resultatløn til politidirektørerne.","13:03","Søren Pape Poulsen"
"13"," 13:03Peter Kofod Poulsen (DF","Tak. Så er det hr. Peter Kofod Poulsen. Værsgo.","13:03","Pia Kjærsgaard"
"14"," 13:05Formanden (Pia Kjærsgaard","Fredericia Dagblad beskrev for noget tid siden lige præcis den her resultatlønsordning, og det fik mig til at stille nogle spørgsmål til justitsministeren, og noget af det vil jeg egentlig gerne følge op på. For noget af det, der interesserer mig, er, at hvis man som ganske almindelig offentligt ansat passer sit arbejde og gør det, der egentlig er forventningen, så får man selvfølgelig den løn, man var stillet i udsigt fra start. Men når man kommer op på et vist niveau i den offentlige sektor og man passer sit arbejde og gør det, som man skal, ja, så får man den løn, man er stillet i udsigt, plus en form for resultatløn, altså en bonus, der ryger oven i. Jeg har svært ved at se, hvorfor man skal have den her forskel på vores politidirektører på den ene side og vores politibetjente på den anden.Så jeg spurgte justitsministeren om, hvilke bonusordninger der var for vores menige politibetjente, og der er så nogle regler om noget lokalløn, men det er ikke yderligere defineret, hvilke muligheder der er, i det svar til udvalgets spørgsmål nr. 74, som ministeren allerede har besvaret.Men så kunne jeg jo se, at når det kom til politidirektørerne – det havde Fredericia dagblad lavet en beregning af, og det er deres tal, det er gennemsnit – fik politidirektørerne en bonus på 67.900 kr. om året oven i lønnen. 67.900 kr.!Jeg tænker bare: Jamen i princippet burde bonussen for at passe sit arbejde, løse sin opgave være den løn, man allerede får. Det vil jeg så starte med at høre ministeren om han er enig i, nemlig at udgangspunktet jo bare burde være, at man får sin løn, hvis man løser sin opgave, for ellers kan man ikke have sit arbejde, og at man altså ikke får store bonusser oveni på 67.900 kr. Synes ministeren, at det er rimeligt?","13:05","Peter Kofod Poulsen"
"15"," 13:05Justitsministeren (Søren Pape Poulsen","Ministeren.","13:05","Pia Kjærsgaard"
