"","V1","V2","time","name"
"3"," 13:00
    Meddelelser fra formanden
    
      Formanden (Pia Kjærsgaard","
    
    I hvilke sammenhænge mener statsministeren at han kan optræde som privatperson og ikke som statsminister?
    (Spm. nr. S 667 Medspørger: Christian Rabjerg Madsen (S)).
    3) Til undervisningsministeren af:
    
      Marie Krarup (DF)
    Hvordan vil ministeren sikre, at betydningen af kultursammenstødet mellem islam og kristendom og de deraf følgende problemer for demokratiet i Danmark indgår i de tiltag om såkaldt demokratisk dannelse, som ministeren har lanceret, men hvor det nævnte kultursammenstød tilsyneladende ikke figurerer?
    (Spm. nr. S 663).
    4) Til kulturministeren af:
    
      Alex Ahrendtsen (DF)
    Hvad er ministerens holdning til, at Slots- og Kulturstyrelsen har givet dispensation og dermed tilladelse til at bygge nyt oven på de gamle fæstningsmure på det fredede areal omkring Nyborg Slot, mens samme styrelse har afvist at affrede Vikingeskibsmuseets bygning, så der kan ske en om- og nybygning af hensyn til de tusind år gamle vikingeskibe?
    (Spm. nr. S 658).
    5) Til transport-, bygnings- og boligministeren af:
    
      Jan Erik Messmann (DF)
    Hvad er ministerens holdning til, at der er sat spørgsmålstegn ved Havarikommissionens uafhængighed i forbindelse med en DSB-sag, hvor en kvinde fik fastklemt armen i et kørende IC3-tog?
    (Spm. nr. S 665, skr. begr.).
    ","13:00","Pia Kjærsgaard"
"4"," 13:00
    
      Formanden (Pia Kjærsgaard","
    Mødet er åbnet.
    Medlemmer af Folketinget Marianne Jelved (RV) m.fl. har meddelt mig, at de ønsker at tage følgende forslag tilbage:
    Forslag til folketingsbeslutning om præcisering af princippet for forældreinddragelse i sager om særlig støtte til børn og unge underlagt ekstrem social kontrol.
    (Beslutningsforslag nr. B 77).
    Er der nogen, der ønsker at optage dette beslutningsforslag?
    Da det ikke er tilfældet, er beslutningsforslaget bortfaldet.
    Det første punkt på dagsordenen er:
    
      1) Besvarelse af oversendte spørgsmål til ministrene (spørgetid).
    
    ","13:00","Pia Kjærsgaard"
"5"," 13:01
    
      Spm. nr. S 666
    
    1) Til statsministeren af:
    
      Simon Kollerup (S). Medspørger: Christian Rabjerg Madsen (S","
    Det første punkt på dagsordenen er besvarelse af oversendte spørgsmål til ministrene (Folketingets spørgetid).
    Det første spørgsmål er til statsministeren af hr. Simon Kollerup, Socialdemokratiet. Der er en medspørger, nemlig hr. Christian Rabjerg Madsen, Socialdemokratiet.
    ","13:01","Pia Kjærsgaard"
"7"," 13:01
    
      Simon Kollerup (S","
    Værsgo at læse spørgsmålet op.
    ","13:01","Simon Kollerup"
"8"," 13:01
    
      Formanden (Pia Kjærsgaard","
    Tak for det. Spørgsmålet lyder: Mener statsministeren, at ministre i regeringen er ministre døgnet rundt, sådan som statsministeren ved en tidligere lejlighed har udtalt?
    ","13:01","Simon Kollerup"
"9"," 13:01
    
      Statsministeren (Lars Løkke Rasmussen","
    Værsgo. Så er det statsministeren.
    ","13:01","Pia Kjærsgaard"
"10"," 13:01
    
      Formanden (Pia Kjærsgaard","
    Ja.
    ","13:01","Lars Løkke Rasmussen"
"11"," 13:01
    
      Simon Kollerup (S","
    Værsgo, så er det spørgeren.
    ","13:01","Pia Kjærsgaard"
"12"," 13:02
    
      Formanden (Pia Kjærsgaard","
    Det var jo et dejlig kort og præcist svar. Så kan vi måske komme lige så præcist igennem de næste. For efter det samråd, vi havde med statsministeren den 31. januar i år, udkom der en række artikler, ledere, analyser m.v., som har omhandlet en total kasketforvirring om, hvorvidt statsministeren nu var privatperson eller var statsminister i nogle forskellige sammenhænge, særlig i forhold til Løkkefonden. Og det er derfor, jeg i dag har brug for at få et klart svar fra statsministeren på, om han er privatperson, når han optræder i sammenhæng med Løkkefonden. Det må der også kunne svares ja eller nej på.
    ","13:02","Simon Kollerup"
"13"," 13:02
    
      Statsministeren (Lars Løkke Rasmussen","
    Værsgo.
    ","13:02","Pia Kjærsgaard"
"14"," 13:03
    
      Formanden (Pia Kjærsgaard","
    Det giver mig måske anledning til så lige at uddybe det der »ja«. For jeg tror, at baggrunden for, at jeg får spørgsmålet, er, hvad jeg sagde på et pressemøde for næsten 8 år siden, den 13. april 2010, og det, jeg sagde der, står jeg selvfølgelig fuldstændig ved, nemlig at udtrykke den holdning, at det at være minister jo er en funktion, som man bærer på sig døgnet rundt hele året rundt. Det betyder også, at jeg har forventninger til mine ministre, og jeg har også forventninger til sig selv omkring arbejdsindsats, om den måde, man varetager sit ministerhverv på, og det gælder populært sagt jo hele døgnet rundt. Men at prøve ligesom at trække det ud i den absurditet, at det så skulle betyde, at ministre ikke har ret til noget privatliv, er jo netop en absurditet.
    For selvfølgelig har ministre også et privatliv. Ministre har venner, ministre deltager i foreningsarbejde, ministre deltager i skolesamtaler, ministre har nye venner og gamle venner og tager til påskefrokost og engagerer sig på forskellig vis, og det skal der være plads til.
    ","13:03","Lars Løkke Rasmussen"
"15"," 13:03
    
      Simon Kollerup (S","
    Værsgo til spørgeren.
    ","13:03","Pia Kjærsgaard"
"16"," 13:03
    
      Formanden (Pia Kjærsgaard","
    Jamen så var svaret jo ikke så klart alligevel, når vi kom i sammenhæng med Løkkefonden. For da var det jo ikke muligt at få et klart ja eller nej på, om statsministeren var privatperson, når han var i sammenhæng med Løkkefonden.
    Jeg står her med BT's forside, den er fra den 25. marts 2018, og den handler om en privat erhvervsdrivende ...
    ","13:03","Simon Kollerup"
"17"," 13:03
    
      Simon Kollerup (S","
    Jeg skal lige sige, at det gør man altså ikke i Folketingssalen. Man klarer sig uden effekter, altså bare med talens brug. Værsgo.
    ","13:03","Pia Kjærsgaard"
"18"," 13:04
    
      Formanden (Pia Kjærsgaard","
    Det beklager jeg.
    Men den historie handlede om en privat erhvervsdrivende fond, som gerne ville give millioner til Løkkefonden, og som samtidig beder Løkkefonden om at tage kontakt til statsministeren for at bestille ham med det formål at få massiv presseomtale. Det får en af landets førende professorer, Kurt Klaudi Klausen, til at sige, at statsministeren blander Løkkefonden og sine egne interesser sammen; det viser et billede med en mand med anløben moral og dårlig dømmekraft.
    Er det en helt forkert beskrivelse af den situation, eller hvordan?
    ","13:04","Simon Kollerup"
"19"," 13:04
    
      Statsministeren (Lars Løkke Rasmussen","
    Værsgo, ministeren.
    ","13:04","Pia Kjærsgaard"
"20"," 13:05
    
      Formanden (Pia Kjærsgaard","
    Ja, det udsagn må jo stå for den pågældendes egen regning. Jeg kan sige, at jeg står fuldstændig på mål for den måde, jeg lever mit liv på i alle dimensioner, og jeg er en meget åben og tilgængelig statsminister og deltager i et hav af arrangementer, og der er intet som helst til hinder for, at jeg også i min egenskab af statsminister kan deltage i begivenheder, der er initieret af en almenvelgørende fond. Det gør jeg fra tid til anden. Jeg optræder i mange sammenhænge. Om kort tid har jeg glæden af at tage ud til Brøndby, hvor spørgerens egen partikollega, Morten Bødskov, har lavet et netværk med erhvervsfolk for at støtte op om Brøndby Idrætsforenings ungdomsarbejde. Der tager jeg ud, og det gør jeg som statsminister, ligesom jeg også i visse sammenhænge har stillet op, f.eks. for at overrække diplomer til drenge, der har bestået DrengeAkademiet.
    ","13:05","Lars Løkke Rasmussen"
"21"," 13:05
    
      Christian Rabjerg Madsen (S","
    Tak. Så er der en medspørger, hr. Christian Rabjerg Madsen. Værsgo.
    ","13:05","Pia Kjærsgaard"
"22"," 13:05
    
      Formanden (Pia Kjærsgaard","
    Tak for det. Statsministeren har tidligere i år på samrådet den 31. januar og altså under ministeransvar sagt: Er det sådan, at man kan købe sig adgang til mig? Nej, det er det ikke.
    Jeg vil gerne spørge statsministeren med alt det, der siden er udrullet om sagen i Weekendavisen, Ekstra Bladet, BT og en række andre medier om statsministeren og Løkkefonden: Fastholder statsministeren så i dag den udtalelse, eller finder statsministeren det relevant at præcisere den forklaring?
    ","13:05","Christian Rabjerg Madsen"
"23"," 13:05
    
      Statsministeren (Lars Løkke Rasmussen","
    Værsgo til statsministeren.
    ","13:05","Pia Kjærsgaard"
"24"," 13:05
    
      Formanden (Pia Kjærsgaard","
    Jeg står fuldstændig ved det, jeg sagde på det samråd.
    ","13:05","Lars Løkke Rasmussen"
"25"," 13:05
    
      Christian Rabjerg Madsen (S","
    Værsgo. Så er det hr. Christian Rabjerg Madsen.
    ","13:05","Pia Kjærsgaard"
"26"," 13:06
    
      Formanden (Pia Kjærsgaard","
    Det forhold, at Løkkefonden i en mail til Statsministeriet kobler en pengedonation fra en privat erhvervsdrivende fond til statsministerens konkrete deltagelse i et arrangement i Esbjerg den 13. marts 2017, og at statsministeren imødekommer den henvendelse som statsminister ved at dukke op med Statsministeriets skattebetalte spindoktor, sætter vel temmelig store spørgsmålstegn ved, om statsministeren talte sandt, udtrykte sig korrekt på samrådet den 31. januar, da statsministeren sagde: Er det sådan, at man kan købe sig adgang til mig? Nej, det er det ikke.
    ","13:06","Christian Rabjerg Madsen"
"27"," 13:06
    
      Statsministeren (Lars Løkke Rasmussen","
    Værsgo til statsministeren.
    ","13:06","Pia Kjærsgaard"
