"","V1","V2","time","name"
"1"," 13:00
    Meddelelser fra formanden
    
      Formanden (Pia Kjærsgaard","69. møde (1. udgave - med forbehold for fejl og udeladelser) - Onsdag den 14. marts 2018 kl. 13.00
    69. møde
    Onsdag den 14. marts 2018 kl. 13.00
    Dagsorden
    
      1) Besvarelse af oversendte spørgsmål til ministrene (spørgetid).
    
    (Se nedenfor).
    
      2) 1. behandling af lovforslag nr. L 156:
    
    Forslag til lov om ændring af udlændingeloven. (Skærpede regler om udvisning af kriminelle udlændinge).
    Af udlændinge- og integrationsministeren (Inger Støjberg).
    (Fremsættelse 28.02.2018).
    1) Til justitsministeren af:
    
      Mikkel Dencker (DF)
    Mener ministeren, at det er hensigtsmæssigt, at et samlingsstedsforbud ikke umiddelbart kan forlænges for en ejendom, som har været benyttet som samlingssted for en rockergruppe, sådan som det er tilfældet for Kirkegade 8 i Hvidovre, hvor naboerne for første gang i mange år ikke har følt sig utrygge i eget hjem på grund af tilstedeværelsen af rockere, netop fordi der af Hvidovre Kommune har været nedlagt samlingsstedsforbud for ejendommen de seneste 3 måneder?
    (Spm. nr. S 597).
    2) Til erhvervsministeren af:
    
      Lennart Damsbo-Andersen (S)
    Mener ministeren, at lavere færgetakster på færgeoverfarten Spodsbjerg-Tårs vil styrke arbejdskraftens mobilitet og reducere erhvervslivets omkostninger, hvilket var regeringens argumentation i erhvervsudspillet »Sammen om fremtidens virksomheder« for lavere takster på Storebæltsbroen, og bør priserne på denne færgeoverfart derfor ikke sættes tilsvarende ned?
    (Spm. nr. S 607).
    3) Til økonomi- og indenrigsministeren af:
    
      Bjarne Laustsen (S)
    Vil ministeren på baggrund af Finansieringsudvalgets rapport om justering af udligningssystemet oplyse, hvordan ministeren vil sikre, at Frederikshavn Kommune – som officielt er en af landets fattigste – ikke bliver så hårdt ramt af en udligningsreform, som alle rapportens fem modeller lægger op til?
    (Spm. nr. S 603).
    4) Til økonomi- og indenrigsministeren af:
    
      Bjarne Laustsen (S)
    Vil ministeren på baggrund af Finansieringsudvalgets rapport om en ny udligningsmodel oplyse, om ministeren mener, at det er rimeligt, at Frederikshavn Kommune vil blive den kommune, som i absolutte tal taber næstmest på omlægningen af beskæftigelsestilskuddet, nemlig 56,1 mio. kr., hvilket svarer til en tredjedel af Frederikshavn Kommunes nuværende beskæftigelsestilskud?
    (Spm. nr. S 604).
    5) Til udlændinge- og integrationsministeren af:
    
      Christian Langballe (DF)
    Er det regeringens opfattelse, at islam og sharia kan føre til parallelsamfund, eller har religionen ingen betydning for dannelse af parallelsamfund?
    (Spm. nr. S 612).
    6) Til udlændinge- og integrationsministeren af:
    
      Christian Langballe (DF)
    Hvordan kan en person som Ali Parnian – bedre kendt som Bager-Ali – få asyl i Danmark, når han allerede forinden havde fået asyl i Italien?
    (Spm. nr. S 613).
    7) Til energi-, forsynings- og klimaministeren af:
    
      Rune Lund (EL)
    Hvad er ministerens holdning til, at A.P. Møller - Mærsk tilsyneladende har solgt kompensationsdelen uden myndighedernes godkendelse, eller uden at myndighederne på forhånd havde givet deres godkendelse af denne del af salgsaftalen?
    (Spm. nr. S 610, skr. begr.).
    8) Til energi-, forsynings- og klimaministeren af:
    
      Rune Lund (EL)
    Vil ministeren undersøge, om A.P. Møller - Mærsk har indgået en salgsaftale med Total, hvori kompensationsaftalen indgår, uden myndighedernes godkendelse – eller om myndighederne på forhånd havde givet deres godkendelse af denne del af salgsaftalen?
    (Spm. nr. S 611, skr. begr.).
    9) Til sundhedsministeren af:
    
      Kaare Dybvad (S)
    Finder ministeren arbejdsmiljøet på psykiatrisygehuset i Slagelse tilfredsstillende set i lyset af regeringens tidligere besvarelser i sagen og DR Sjællands dækning af den nye udvikling på sygehuset?
    (Spm. nr. S 606).
    10) Til transport-, bygnings- og boligministeren af:
    
      Rasmus Prehn (S)
    Mener ministeren, at det er et udtryk for god og retfærdig kundeservice, når det koster 50 kr. at forny sit rejsekort, selv om udløbsdatoen ikke fremgår af kortet og det i forvejen koster 50 kr. at oprette kortet?
    (Spm. nr. S 598).
    11) Til transport-, bygnings- og boligministeren af:
    
      Rasmus Prehn (S)
    Mener ministeren, at S-togsstationerne i og omkring København understøtter Park & Ride, når flere kommuner, herunder Solrød Kommune, har indført tidsbegrænset parkering ved deres S-togsstationer, således at pendlere ikke kan parkere ved stationen og pendle til København?
    (Spm. nr. S 599).
    12) Til transport-, bygnings- og boligministeren af:
    
      Lennart Damsbo-Andersen (S)
    Mener ministeren, at færgetaksterne på overfarten mellem Tårs og Spodsbjerg bør nedsættes som følge af den lavere brotakst på Storebælt, der trådte i kraft den 1. januar 2018?
    (Spm. nr. S 609).
    ","13:00","Pia Kjærsgaard"
"8"," 13:02
    
      Formanden (Pia Kjærsgaard","
    Beslutningsforslag nr. B 91 (Forslag til folketingsbeslutning om en uvildig undersøgelse af udlændinge- og integrationsministerens håndtering af adskilt indkvartering af mindreårige gifte eller samlevende asylansøgere).
    Titlerne på de anmeldte sager vil fremgå af www.folketingstidende.dk (jf. ovenfor).
    Udenrigsministeren (Anders Samuelsen) har meddelt mig, at han ønsker i henhold til forretningsordenens § 19, stk. 4, at give Folketinget en skriftlig
    Redegørelse om udvalgte internationale organisationer. (Det nordiske samarbejde, det nordiske forsvarssamarbejde, OSCE, Østersøsamarbejdet og Europarådet).
    (Redegørelse nr. R 8).
    Eksemplarer vil blive omdelt, og redegørelsen vil fremgå af www.folketingstidende.dk 
    Redegørelsen vil komme til forhandling tirsdag den 3. april 2018.
    Jeg skal meddele, at det af Kaare Dybvad (S) under nr. 9 opførte spørgsmål til sundhedsministeren (spørgsmål nr. S 606) overgår til besvarelse næste onsdag den 21. marts efter ønske fra spørgeren.
    Det første punkt på dagsordenen er:
    
      1) Besvarelse af oversendte spørgsmål til ministrene (spørgetid).
    
    ","13:02","Pia Kjærsgaard"
"9"," 13:02
    
      Spm. nr. S 597
    
    1) Til justitsministeren af:
    
      Mikkel Dencker (DF","
    Det første punkt på dagsordenen er besvarelse af oversendte spørgsmål til ministrene, Folketingets spørgetid. Det første spørgsmål er til justitsministeren.
    ","13:02","Pia Kjærsgaard"
"11"," 13:02
    
      Mikkel Dencker (DF","
    Hr. Mikkel Dencker, Dansk Folkeparti. Værsgo til en oplæsning.
    ","13:02","Mikkel Dencker"
"12"," 13:03
    
      Formanden (Pia Kjærsgaard","
    Tak, formand. Spørgsmålet lyder sådan her:
    Mener ministeren, at det er hensigtsmæssigt, at et samlingsstedsforbud ikke umiddelbart kan forlænges for en ejendom, som har været benyttet som samlingssted for en rockergruppe, sådan som det er tilfældet for Kirkegade 8 i Hvidovre, hvor naboerne for første gang i mange år ikke har følt sig utrygge i eget hjem på grund af tilstedeværelsen af rockere, netop fordi der af Hvidovre Kommune har været nedlagt samlingsstedsforbud for ejendommen de seneste 3 måneder?
    ","13:03","Mikkel Dencker"
"13"," 13:03
    
      Justitsministeren (Søren Pape Poulsen","
    Værsgo, ministeren.
    ","13:03","Pia Kjærsgaard"
"14"," 13:05
    
      Formanden (Pia Kjærsgaard","
    Tak for det, og tak for spørgsmålet om noget jo særdeles vigtigt for os alle sammen. Jeg tror ikke, der er nogen, der er i tvivl om min holdning til rockere og bander. Vi vil ikke acceptere dem, og vi skal bekæmpe dem og deres kriminalitet med alle tænkelige redskaber. Derfor har vi også sat ind med en meget lang række af tiltag: bandepakke III, vidnepakken osv. osv.
    Et af de initiativer, som vi sammen med spørgerens parti har gennemført med bandepakke III, er jo samlingsstedsforbuddet, altså at kommunerne kan nedlægge et forbud mod anvendelse af bestemte ejendomme som samlingssted for eksempelvis rockere. I den forbindelse er jeg glad for at kunne konstatere, at en række kommuner har taget muligheden i brug. Det er jo en forudsætning for at nedlægge forbuddet, at gruppens anvendelse af ejendommen som samlingssted kan medføre væsentlig ulempe og utryghed for de omkringboende. Ordningen er nøje overvejet i forhold til forsamlingsfriheden i grundloven og Den Europæiske Menneskerettighedskonvention, altså at et forbud i førstegangstilfælde varer i 3 måneder, og skal ses i det lys.
    Samtidig er det også vigtigt for mig at understrege, at hvis ejendommen anvendes som samlingssted for gruppen i den 3-månedersperiode, hvor forbuddet gælder, så kan der nedlægges et tidsubegrænset forbud, som gælder, indtil kommunen tilbagekalder det. Herudover vil et forbud i andengangstilfælde, hvor det er mindre end 2 år siden at forbuddet udløb, gælde tidsubegrænset, indtil kommunen tilbagekalder det. Kravene for nedlæggelse af forbud i denne 2-årsperiode vil endvidere være lempede, sådan at det alene kræves, at der er konstateret et vist antal gener eller en enkelt alvorlig gene.
    Hvis man skal have forbuddet gjort længere eller tidsubegrænset i førstegangstilfælde, vil det rejse spørgsmål i forhold til grundloven og i forhold til Danmarks internationale forpligtelser, og spørgsmålet er, om indgrebet vil være uforholdsmæssigt. Justitsministeriet har aftalt med KL, at når loven har været i kraft i et år, vil vi se på den sammen og evaluere den. Indtil videre vil jeg glæde mig over det redskab, man har fået, og glæde mig over, at kommunerne har brugt det.
    ","13:05","Søren Pape Poulsen"
"15"," 13:05
    
      Mikkel Dencker (DF","
    Tak, og værsgo til spørgeren.
    ","13:05","Pia Kjærsgaard"
"16"," 13:07
    
      Formanden (Pia Kjærsgaard","
    Tak for besvarelsen. Jeg er enig med ministeren i, at det at introducere et samlingsstedsforbud har været en succes de steder, det har været taget i brug. Det er jo også tilbagemeldingen fra min egen kommune, Hvidovre Kommune, hvor det har været brugt på den konkrete ejendom her. Der har jeg fået henvendelser fra naboer, som har udtrykt tilfredshed og glæde over, at de kan føle sig trygge i eget hjem, netop fordi der ikke længere er rockere på den her ejendom, og fordi der ikke kommer konkurrerende bandegrupperinger forbi og skyder på ejendommen, som det har været tilfældet tidligere. Det har skabt utrolig stor utryghed hos de omkringboende. Derfor har det også været en succes med de her 3 måneder.
    Men det, som så er problematisk nu, er, at der ikke har været nogen episoder på ejendommen i de 3 måneder, fordi forbuddet har været overholdt. Derfor udløber forbuddet, og det kan ikke forlænges. Så står vi tilbage i den samme situation igen, nemlig at rockergruppen kan flytte ind, kan tage deres klubhus, kan man kalde det, i brug igen, og så kører møllen igen med utryghed hos de omkringboende og sikkert også andre bander, der kommer forbi i nattens mulm og mørke og skyder på bygningen, sådan som det har været før. Der er jo naboer, der har fundet skudhuller i deres huse eller i deres biler, og det er altså uhensigtsmæssigt, når der er tale om et beboelseskvarter, som ejendommen ligger i, hvor der bor helt almindelige fredelige mennesker.
    Så er ministeren ikke enig med mig i, at vi selvfølgelig skal gøre alt, hvad vi kan, for at få bandegrupperinger og rockerborge ud af beboelseskvarterer – allerhelst helt væk fra landet, men i hvert fald i første omgang væk fra beboelsesområder – og at der måske kan være brug for, at det ikke bare er 3 måneder, man kan lave forbud i første omgang, men at det måske kunne være 6 måneder eller 1 år, hvis ministeren ikke vurderer, at der er grundlag for i grundloven ligefrem at lave det permanent allerede fra første forsøg?
    ","13:07","Mikkel Dencker"
"17"," 13:07
    
      Justitsministeren (Søren Pape Poulsen","
    Værsgo, så er det ministeren.
    ","13:07","Pia Kjærsgaard"
