"","V1","V2","time","name"
"1"," 13:00
    Meddelelser fra formanden
    
      Formanden (Pia Kjærsgaard","61. møde (1. udgave - med forbehold for fejl og udeladelser) - Onsdag den 21. februar 2018 kl. 13.00
    61. møde
    Onsdag den 21. februar 2018 kl. 13.00
    Dagsorden
    
      1) Besvarelse af oversendte spørgsmål til ministrene (spørgetid).
    
    (Se nedenfor).
    
      2) 1. behandling af lovforslag nr. L 140:
    
    Forslag til lov om ændring af udlændingeloven og integrationsloven. (Opholdstilladelse ved pensionering til tidligere ansatte ved herværende internationale organisationer m.v.).
    Af udlændinge- og integrationsministeren (Inger Støjberg).
    (Fremsættelse 07.02.2018).
    
      3) 1. behandling af lovforslag nr. L 145:
    
    Forslag til lov om ændring af udlændingeloven. (Indkvartering og forsørgelse af flygtninge og asylansøgere, advisering af kommunerne om visse afgørelser i klagesager og ændring af beregningen af varigheden af et indrejseforbud).
    Af udlændinge- og integrationsministeren (Inger Støjberg).
    (Fremsættelse 08.02.2018).
    1) Til justitsministeren af:
    
      Peter Hummelgaard Thomsen (S)
    Vil ministeren arbejde for, at der igen vil være patruljeret udkørsel fra Station Amager på Kamillevej, i forlængelse af sine udtalelser til Avisen Danmark den 8. februar 2018 om, at »vi står nu et sted, hvor vi har fået behov for igen at have et mere lokalt orienteret politi. Det er vigtigt for mig, at folk skal kunne føle sig trygge i hele Danmark. At man føler, at politiet er tæt på en, selv om man ikke bor et sted, hvor kuglerne flyver om ørerne på en«?
    (Spm. nr. S 542).
    2) Til justitsministeren af:
    
      Claus Kvist Hansen (DF)
    Hvad vil regeringen gøre for at styrke tungvognskontrollen?
    (Spm. nr. S 549. Medspørger: Peter Kofod Poulsen (DF)).
    3) Til justitsministeren af:
    
      Peter Kofod Poulsen (DF)
    Har ministeren aktuelle planer om at ændre offentlighedsloven, og hvilke ændringer vil ministeren i bekræftende fald arbejde for at gennemføre?
    (Spm. nr. S 550).
    4) Til finansministeren af:
    
      Rasmus Prehn (S)
    Er det efter ministerens opfattelse en fornuftig prioritering, at regeringen har afsat 22 mia. kr. til at løfte rammen for offentlige investeringer i perioden 2021-2025, hvoraf 7 mia. kr. går til forsvaret, 2,5 mia. kr. til en skatteaftale, hvilket indebærer, at maksimalt 13 mia. kr. går til andre offentlige investeringer, herunder til investeringer i infrastruktur?
    (Spm. nr. S 528).
    5) Til udlændinge- og integrationsministeren af:
    
      Pernille Bendixen (DF)
    Hvad er ministerens holdning til kønsopdelte cafeer?


    (Spm. nr. S 547, skr. begr.).
    6) Til økonomi- og indenrigsministeren af:
    
      Benny Engelbrecht (S)
    Er ministeren enig med sin partifælle, finansordfører for Liberal Alliance, Joachim B. Olsen, når denne i Jyllands-Posten den 2. februar i år konkluderer, at regeringen ikke når sit mål om at øge arbejdsudbuddet med 55.000 til 60.000 personer, idet man efter 14 måneder ved magten ikke er lykkedes med at øge arbejdsudbuddet nævneværdigt?
    (Spm. nr. S 551).
    7) Til børne- og socialministeren af:
    
      Karina Adsbøl (DF)
    Mener ministeren, at det er en enig regering, som står bag lanceringen af »Opdragelsesdebatten«?
    (Spm. nr. S 543. Medspørger: Pernille Bendixen (DF)).
    8) Til børne- og socialministeren af:
    
      Karina Adsbøl (DF)
    Mener ministeren, at det er en vigtig opgave for en regering at opdrage forældre til at opdrage deres børn bedre?
    (Spm. nr. S 544. Medspørger: Pernille Bendixen (DF)).
    9) Til børne- og socialministeren af:
    
      Pernille Bendixen (DF)
    Hvad er ministerens holdning til halvårige praktikforløb i daginstitutioner til skoletrætte unge? 

    (Spm. nr. S 552, skr. begr.).
    10) Til undervisningsministeren af:
    
      Marlene Harpsøe (DF)
    Hvad er ministerens holdning til, at gymnasieelever kan købe sig til topkarakterer for skriftlige eksamensopgaver hos fixminopgave.dk?
    (Spm. nr. S 453 (omtrykt)).
    11) Til undervisningsministeren af:
    
      Kenneth Kristensen Berth (DF)
    Mener ministeren, at det er rimeligt og acceptabelt, at man i en dansk skolebog, »Radikalisering og terrorisme«, lægger en stor del af ansvaret for Anders Breiviks terrorhandling den 22. juli 2011 på to mindre, danske privatdrevne webmedier, Uriasposten og Snaphanen, når der i Breiviks 1.515 sider lange manifest optræder en fodnotehenvisning til Uriasposten og tre fodnotehenvisninger til Snaphanen, finder ministeren det ikke problematisk, at disse private websider på så spinkelt et grundlag udstilles på denne måde uden mulighed for at tage til genmæle, og hvilke forestillinger gør ministeren sig om, hvilke konsekvenser det kan få for folkene bag siderne, at de udstilles sådan?
    (Spm. nr. S 533, skr. begr.).
    12) Til undervisningsministeren af:
    
      Kenneth Kristensen Berth (DF)
    Hvilke krav mener ministeren man kan stille til lødigheden af danske undervisningsbøger, der anvendes i undervisningen i folkeskolen og gymnasiet, mener ministeren, at det er rimeligt, at forfattere til skolebøger politiserer i disse bøger, og hvad mener ministeren der kan gøres for at undgå dette?
    (Spm. nr. S 534, skr. begr.).
    13) Til transport-, bygnings- og boligministeren af:
    
      Kaare Dybvad (S)
    Deler ministeren Socialdemokratiets syn på, at det skal være lettere at sætte kriminelle og utryghedsskabende lejere ud af deres almene bolig, som Socialdemokratiet foreslår i et nyt udlændingeudspil?
    (Spm. nr. S 535).
    14) Til transport-, bygnings- og boligministeren af:
    
      Kaare Dybvad (S)
    Er ministeren enig i Socialdemokratiets ambition om, at ingen boligområder i fremtiden skal have mere end 30 pct. ikkevestlige indvandrere og efterkommere?
    (Spm. nr. S 536).
    15) Til transport-, bygnings- og boligministeren af:
    
      Bjarne Laustsen (S)
    Er ministeren enig i, at trafikkapaciteten nu er så tæt på at være brugt op i Limfjordstunnelen, at der er behov for at etablere en ny tredje, vestlig Limfjordsforbindelse, og har ministeren en plan B, hvis det ene tunnelrør bryder sammen?
    (Spm. nr. S 545).
    16) Til transport-, bygnings- og boligministeren af:
    
      Bjarne Laustsen (S)
    Mener ministeren, at det gør en forskel, hvis der bliver indført brugerbetaling på en ny Limfjordsforbindelse som foreslået af Venstre i Nordjylland, set i lyset af at Liberal Alliance vil afskaffe brugerbetalingen på alle faste broforbindelser i Danmark?
    (Spm. nr. S 546).
    17) Til transport-, bygnings- og boligministeren af:
    
      Rasmus Prehn (S)
    Er det udtryk for ministerens politiske holdning, når Trafik-, Bygge- og Boligstyrelsen har sendt et forslag i høring, der fra 2025 fratager Vendsyssel gennemkørende intercitytog til København og bryder med aftalen om, at der skal være fjerntog, der forbinder Aalborg Lufthavn?
    (Spm. nr. S 548, skr. begr.).
    ","13:00","Pia Kjærsgaard"
"5"," 13:01
    
      Formanden (Pia Kjærsgaard","
    Lovforslag nr. L 149 (Forslag til lov om Erhvervsstyrelsens behandling af data).
    Titler på de anmeldte sager vil fremgå af www.folketingstidende.dk (jf. ovenfor).
    Fra statsministeren har jeg modtaget følgende breve:
    »Til Folketingets formand
    Efter min indstilling er det ved kongelig resolution af 12. februar 2018 bestemt, 
    at ressortansvaret for sager vedrørende regulering af tekniske indretninger og standarder vedrørende betalingsforvaltning (NemHandel), jf. bemyndigelsen i § 7, stk. 1, i lov om offentlige betalinger mv., dog bortset fra sager vedrørende fastlæggelse af offentlige myndigheders pligt til elektronisk betalingsforvaltning, overføres fra ministeren for offentlig innovation til erhvervsministeren pr. 16. februar 2018.
    Jeg beder formanden underrette Folketinget herom.
    Sign. Lars Løkke Rasmussen
    /Carsten Madsen«
    Meddelelsen vil fremgå af www.folketingstidende.dk 
    »Til Folketingets formand
    Efter min indstilling er det ved kongelig resolution af 12. februar 2018 bestemt, 
    at ressortansvaret for sagen vedrørende ansøgning om partistøtte for 2018 fra Liberal Alliance, jf. partistøttelovens § 2, overføres fra økonomi- og indenrigsministeren til justitsministeren, idet der vil kunne rejses tvivl om økonomi- og indenrigsministerens habilitet i forbindelse med behandlingen af sagen.
    Jeg beder formanden underrette Folketinget herom.
    Sign. Lars Løkke Rasmussen
    /Carsten Madsen«
    Meddelelsen vil fremgå af www.folketingstidende.dk 
    Det første punkt på dagsordenen er:
    
      1) Besvarelse af oversendte spørgsmål til ministrene (spørgetid).
    
    ","13:01","Pia Kjærsgaard"
"6"," 13:01
    
      Spm. nr. S 542
    
    1) Til justitsministeren af:
    
      Peter Hummelgaard Thomsen (S","
    Det første punkt på dagsordenen er besvarelse af oversendte spørgsmål til ministrene.
    Det første spørgsmål er til justitsministeren af hr. Peter Hummelgaard Thomsen, Socialdemokratiet.
    ","13:01","Pia Kjærsgaard"
"8"," 13:01
    
      Peter Hummelgaard Thomsen (S","
    Værsgo at læse spørgsmålet op.
    ","13:01","Peter Hummelgaard Thomsen"
"9"," 13:02
    
      Formanden (Pia Kjærsgaard","
    Tak for det, formand. Vil ministeren arbejde for, at der igen vil være patruljeret udkørsel fra Station Amager på Kamillevej, i forlængelse af sine udtalelser til Avisen Danmark den 8. februar 2018 om, at »vi står nu et sted, hvor vi har fået behov for igen at have et mere lokalt orienteret politi. Det er vigtigt for mig, at folk skal kunne føle sig trygge i hele Danmark. At man føler, at politiet er tæt på en, selv om man ikke bor et sted, hvor kuglerne flyver om ørerne på en«?
    ","13:02","Peter Hummelgaard Thomsen"
"10"," 13:02
    
      Justitsministeren (Søren Pape Poulsen","
    Værsgo til ministeren.
    ","13:02","Pia Kjærsgaard"
"11"," 13:03
    
      Formanden (Pia Kjærsgaard","
    Tak for det, og tak for spørgsmålet. Jeg vil gerne indlede besvarelsen med at slå fast, er det er min vigtigste opgave som justitsminister at sikre, at danskerne er trygge. Det indebærer for mig, at borgerene føler og ved, at politiet er nært både fysisk og i borgernes bevidsthed.
    De seneste år har der været et stort fokus på modernisering og øget professionalisering i dansk politi. Det har vi heldigvis fået, og det er godt. Men som jeg også tidligere har givet udtryk for i andre sammenhænge, har det desværre også betydet, at befolkningen i nogle tilfælde føler, at politiet er kommet længere væk. Det skal vi have gjort noget ved, og derfor er det helt afgørende for mig, at der skal være et mere nærværende politi, og det er min ambition for 2018, at vi får taget hul på den opgave og finder nogle gode løsninger.
    Men det er jo ikke det samme som at sige, at så skal tiden spoles tilbage. Den nære relation mellem borger og politi skal jo afspejle den tid, vi lever i, det kriminalitetsbillede, vi står over for, og de forventninger, borgerne har. Derfor vil jeg heller ikke stå her og sige, at der igen skal være patruljeret udkørsel fra Kamillevej eller fra nogen anden politistation i øvrigt. Det, jeg til gengæld vil love, er at arbejde for, at borgerne, også på Amager, i højere grad møder politiet i hverdagen og kan føle sig sikre på, at politiet er nært, hvis de ringer efter hjælp. Det arbejde glæder jeg mig rigtig meget til. Vi skal se nærmere på, hvilke tiltag det kræver for at sikre det, jeg kalder et mere nærværende politi.
    ","13:03","Søren Pape Poulsen"
"12"," 13:03
    
      Peter Hummelgaard Thomsen (S","
    Tak, og værsgo.
    ","13:03","Pia Kjærsgaard"
"13"," 13:05
    
      Formanden (Pia Kjærsgaard","
    Tak til justitsministeren. Altså, vi har også haft nogle runder om det her tidligere, og det var også derfor, jeg med stor interesse og glæde sådan set læste ministerens udtalelser i Avisen DK. For jeg tror, at ministeren sådan set har fuldstændig ret i, at der er rigtig mange steder rundt omkring i landet, herunder i særdeleshed ude på Amager – det tror jeg de fleste, der bor derude, kan skrive under på – hvor man føler, at politiet er rykket længere væk, specielt hvis man bor ude i Kastrup, Tårnby og for den sags skyld Dragør.
    Derfor så jeg jo egentlig meget gerne – og jeg er helt med på, at ministeren jo ikke kan stå og love noget nu her – at lige præcis Kamillevej genåbner, at det i hvert fald er en del af det, som ministeren i arbejdet fremadrettet vil se på, altså om ikke det er et af de steder, hvor der igen kan etableres patruljeret udkørsel.
    Jeg kender jo også godt historikken. Det var jo også, da mit eget parti var i regering, at nogle af de her ændringer blev foretaget, men nu må man også sige, at vi har forsøgt med det her i en årrække, og at den utryghed, som borgerne oplever og også giver udtryk for, er til at tage at føle på.
    Derudover vil jeg selvfølgelig også sige – det var også noget, jeg selv personligt så i kommunalvalgkampen – at justitsministerens partifæller ude i Tårnby jo rent faktisk havde det som et valgprogram til kommunalvalget, at man ønskede, nu hvor partiet også havde justitsministerposten, at der igen skulle være patruljeret udkørsel fra Kamillevej skråstreg Station Amager. Så det håber jeg jo meget på at ministeren vil kaste et fordomsfrit blik på.
    Måske kan ministeren også svare på, hvad de næste skridt er fremadrettet, og hvordan vi får taget hul på diskussionen om, hvorvidt det skal være Kamillevej eller andre steder, hvor der så skal være patruljeret udkørsel fra?
    ","13:05","Peter Hummelgaard Thomsen"
"14"," 13:05
    
      Justitsministeren (Søren Pape Poulsen","
    Værsgo.
    ","13:05","Pia Kjærsgaard"
